time,remaining_qty,slice_qty,mid_now,best_bid,best_ask,spread_ticks,imbalance,vol_ema,time_ratio,fill_ratio,schedule_error,ml_ready,ml_predicted_move,ml_urgency,ml_triggered,forced_ioc,skip,raw_action,final_action,ml_horizon_ms,ml_threshold
1767571200000,3189,12,915312,915312,915313,1,-0.0718563,2.39871,0.571429,0.544429,0.027,1,-97.8059,-97.8059,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767572100000,3177,12,919002,919002,919003,1,0.759723,9.6498,0.572917,0.546143,0.0267738,1,-205.927,-205.927,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767573000000,3172,12,918485,918485,918486,1,0.248145,3.80419,0.574405,0.546857,0.0275476,1,-31.9141,-31.9141,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767573900000,3160,12,920413,920413,920414,1,0.69011,4.94783,0.575893,0.548571,0.0273214,1,-28.0175,-28.0175,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767574800000,3148,12,924054,924054,924055,1,0.833103,13.3293,0.577381,0.550286,0.0270952,1,57.0662,57.0662,0,0,1,exec_skip,exec_skip,1000,0.05
1767575700000,3148,12,929511,929511,929512,1,0.589485,5.13216,0.578869,0.550286,0.0285833,1,7.41423,7.41423,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767576600000,3136,12,929782,929782,929783,1,-0.208944,2.86586,0.580357,0.552,0.0283571,1,4.08076,4.08076,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767577500000,3124,12,932089,932089,932090,1,0.822414,6.77239,0.581845,0.553714,0.028131,1,65.2274,65.2274,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767578400000,3112,12,929641,929641,929642,1,0.760902,3.48718,0.583333,0.555429,0.0279048,1,-21.2682,-21.2682,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767579300000,3100,12,928708,928708,928709,1,0.428571,4.67165,0.584821,0.557143,0.0276786,1,21.3889,21.3889,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767580200000,3088,12,927456,927456,927457,1,0.522807,0.288592,0.58631,0.558857,0.0274524,1,-60.8329,-60.8329,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767581100000,3076,12,929203,929203,929204,1,0.764581,0.523739,0.587798,0.560571,0.0272262,1,-59.5323,-59.5323,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767582000000,3064,12,930387,930387,930388,1,0.895361,1.43027,0.589286,0.562286,0.027,1,-42.0295,-42.0295,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767582900000,3052,12,930188,930188,930189,1,0.77312,1.26415,0.590774,0.564,0.0267738,1,-40.9141,-40.9141,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767583800000,3040,12,929971,929971,929972,1,0.372598,0.0619607,0.592262,0.565714,0.0265476,1,-55.2781,-55.2781,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767584700000,3028,12,929360,929360,929361,1,0.218792,0.305792,0.59375,0.567429,0.0263214,1,-47.1797,-47.1797,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
